,channelName,title,id,kind,url
23,TechLead,TechLead,UC4xKdmAXFh4ACyhpiQ_3qBw,youtube#channel,https://www.youtube.com/channel/UC4xKdmAXFh4ACyhpiQ_3qBw
24,WesBos,Wes Bos,UCoebwHSTvwalADTJhps0emA,youtube#channel,https://www.youtube.com/user/wesbos
25,Gajesh S. Naik,Gajesh S Naik,UC7PWnwwqMSqAXQkKXqxRkMw,youtube#channel,https://youtube.com/gajeshsnaik
26,Ben Awad,Ben Awad,UC-8QAzbLcRglXeN_MY9blyw,youtube#channel,https://www.youtube.com/c/BenAwad97/featured
27,Codevolution,Codevolution,UC80PWRj_ZU8Zu0HSMNVwKWw,youtube#channel,https://www.youtube.com/ImranSayedDev
28,Hussein Nasser,Hussein Nasser,UC_ML5xP23TOWKUcc-oAE_Eg,youtube#channel,https://www.youtube.com/c/HusseinNasser-software-engineering
29,Dev Ed,Dev Ed,UClb90NQQcskPUGDIXsQEz5Q,youtube#channel,https://www.youtube.com/channel/UClb90NQQcskPUGDIXsQEz5Q
30,Brackeys,Brackeys,UCYbK_tjZ2OrIZFBvU6CCMiA,youtube#channel,https://www.youtube.com/c/Brackeys
31,Rachit Jain,Rachit Jain,UC9fDC_eBh9e_bogw87DbGKQ,youtube#channel,https://www.youtube.com/c/RachitJain
32,Kyle Cook,Kyle Cook,UC_ov4ZPZej97M9kN1_lgtMg,youtube#channel,https://www.youtube.com/c/WebDevSimplified/playlists
33,Scott Hansellman,Scott Hanselman,UCL-fHOdarou-CR2XUmK48Og,youtube#channel,https://www.youtube.com/user/shanselman
34,PortEXE,PortEXE,UCjGQyJCSU_VVMTu5nigonqg,youtube#channel,https://www.youtube.com/channel/UCjGQyJCSU_VVMTu5nigonqg
35,Joshua Fluke,Joshua Fluke,UC-91UA-Xy2Cvb98deRXuggA,youtube#channel,https://www.youtube.com/user/Tychos1
36,Web Dev Simplified,Web Dev Simplified,UCFbNIlppjAuEX4znoulh0Cw,youtube#channel,https://www.youtube.com/c/WebDevSimplified
37,Joma,Joma Tech,UCV0qA-eDDICsRR9rPcnG7tw,youtube#channel,https://www.youtube.com/channel/UCV0qA-eDDICsRR9rPcnG7tw
38,Tren Black,Tren Black,UCSSBvqWNPq_qO3_W4EJiOAA,youtube#channel,https://www.youtube.com/channel/UCSSBvqWNPq_qO3_W4EJiOAA
39,Nick Chapsas,Nick Chapsas,UCrkPsvLGln62OMZRO6K-llg,youtube#channel,https://www.youtube.com/c/Elfocrash
40,CodingEntrepreneurs,CodingEntrepreneurs,UCWEHue8kksIaktO8KTTN_zg,youtube#channel,https://www.youtube.com/user/CodingEntrepreneurs
41,Programming With ERik,Program With Erik,UCshZ3rdoCLjDYuTR_RBubzw,youtube#channel,https://www.youtube.com/channel/UCshZ3rdoCLjDYuTR_RBubzw
42,Forest Knight,ForrestKnight,UC2WHjPDvbE6O328n17ZGcfg,youtube#channel,https://www.youtube.com/channel/UC2WHjPDvbE6O328n17ZGcfg
43,Keith Galli,Keith Galli,UCq6XkhO5SZ66N04IcPbqNcw,youtube#channel,https://www.youtube.com/c/KGMIT/featured
44,Pretty Printed,Pretty Printed,UC-QDfvrRIDB6F0bIO4I4HkQ,youtube#channel,https://www.youtube.com/c/PrettyPrintedTutorials
45,Derek Banas,Derek Banas,UCwRXb5dUK4cvsHbx-rGzSgw,youtube#channel,https://www.youtube.com/c/derekbanas
