,videoId,title,tags,viewCount,likeCount,dislikeCount,commentCount,duration,channelId,date
12,IolxqkL7cD8,Python Quick Tip: Hiding Passwords and Secret Keys in Environment Variables (Windows),"['python', 'environment variables', 'os', 'os module', 'python environment variables', 'windows', 'windows environment variables', 'tutorial', 'python tutorial', 'python 3.6', 'corey schafer', 'password', 'secret key', 'api', 'python hide', 'windows 10']",95768,3596,26,189,PT4M38S,UCCezIgC97PvUuR4_gbFUs5g,2018-02-01T17:30:01Z
13,N5vscPTWKOk,Python Tutorial: virtualenv and why you should use virtual environments,"['Python', 'virtualenv', 'Virtual Environment', 'Virtual Environments', 'Python Packages', 'Programming', 'Computer Science', 'Video Tutorial', 'How to', 'How-to', 'Software', 'Software Engineering', 'Development', 'Web Development', 'Web Dev', 'Python (Programming Language)', 'Python virtualenv', 'Python Tutorial', 'Python Tutorials']",554075,8693,107,473,PT9M45S,UCCezIgC97PvUuR4_gbFUs5g,2015-04-14T05:37:52Z
14,5iWhQWVXosU,Python Quick Tip: Hiding Passwords and Secret Keys in Environment Variables (Mac & Linux),"['python', 'environment variables', 'os', 'os module', 'python environment variables', 'mac', 'linux', 'os x', 'osx', 'environ', 'bash_profile', 'bash profile', 'bashrc', 'tutorial', 'mac os x', 'python tutorial', 'python 3.6', 'corey schafer', 'password', 'secret key', 'api', 'python hide', 'linux environment variables', 'mac environment variables']",94291,2782,18,220,PT4M32S,UCCezIgC97PvUuR4_gbFUs5g,2018-02-01T17:30:00Z
15,3dt4OGnU5sM,Python Tutorial: Comprehensions - How they work and why you should be using them,"['Python (Programming Language)', 'List Comprehensions', 'Python List Comprehensions', 'Comprehensions', 'Python Comprehensions', 'Set Comprehensions', 'Dict Comprehensions', 'Python Tutorials', 'Python Tutorial', 'Python', 'Programming', 'Programming Tutorials', 'Computer Science', 'Software', 'Software Engineering', 'Development', 'Programming Language (Software Genre)', 'How to', 'How-to', 'Video Tutorial', 'Generators', 'Python Generators', 'Generator Expressions']",333799,8296,51,407,PT18M29S,UCCezIgC97PvUuR4_gbFUs5g,2015-08-24T16:30:01Z
16,YYXdXT2l-Gg,Python Tutorial for Beginners 1: Install and Setup for Mac and Windows,"['python tutorial', 'python', 'python (programming language)', 'python programming tutorial', 'python for beginners', 'python for absolute beginners', 'python basics', 'install python', 'python install', 'python beginner tutorial', 'python setup', 'setup python', 'python windows', 'python windows install', 'python mac', 'python mac install', 'python os x', 'getting started with python', 'python 3.6', 'python 3', 'python 36', 'python tutorial for beginners', 'programming', 'corey schafer', 'corey schafer python']",1801357,20430,197,950,PT15M29S,UCCezIgC97PvUuR4_gbFUs5g,2017-05-17T15:30:00Z
17,BJ-VvGyQxho,Python OOP Tutorial 2: Class Variables,"['Python', 'Python Tutorial', 'Classes', 'Object Oriented', 'OOP', 'Python Classes', 'Python Objects', 'Class Variables', 'Class Attributes', 'Python OOP', 'Class', 'Python Class', 'Instance Variables', 'Class vs Instance', '__dict__', 'dict', 'namespace', 'Python namespace', 'Object Oriented Programming', 'Attributes']",1107079,38758,116,1320,PT11M41S,UCCezIgC97PvUuR4_gbFUs5g,2016-06-23T16:30:01Z
18,a7EjmdQzPqY,Programming Terms: Memoization,"['Memoization', 'Programming Language (Software Genre)', 'Programming Terms', 'Python', 'Python Memoization', 'Programming Tutorials', 'Programming Tutorial', 'Caching', 'Python Cache', 'Python Performance', 'Performance', 'Programming Performance', 'Computer Science', 'Software', 'Software Engineering (Industry)', 'Software Engineer (Profession)', 'How-to (Website Category)', 'Cache', 'Dictionary', 'Python Dictionary']",47762,1705,11,81,PT5M49S,UCCezIgC97PvUuR4_gbFUs5g,2015-10-28T15:30:00Z
19,jTYiNjvnHZY,Python Tutorial: Iterators and Iterables - What Are They and How Do They Work?,"['python', 'iterator', 'iterable', 'iteration', 'python iterator', 'python iterable', 'python iteration', 'iterator vs iterable', 'python iterator vs iterable', 'python iterators', 'python iterators and generators', 'python generator', 'python tutorial', 'python 3', 'python (programming language)', 'corey schafer', 'python programming', 'python generators']",216695,6653,40,239,PT23M8S,UCCezIgC97PvUuR4_gbFUs5g,2018-10-24T15:45:00Z
20,WxUVU0b95Oc,Linux/Mac Terminal Tutorial: How To Use The cURL Command,"['curl', 'cURL', 'Terminal', 'Linux', 'Mac', 'Linux Terminal', 'Command Line', 'Command-Line', 'Linux Command Line', 'Linux Commands', 'Mac Commands', 'Unix', 'Darwin', 'CLI', 'Command Line Interface', 'How to use', 'Tutorial', 'SysAdmin', 'REST Service', 'API', 'Sys Admin', 'How-to']",127742,2586,16,58,PT8M58S,UCCezIgC97PvUuR4_gbFUs5g,2016-06-09T16:30:00Z
21,3ohzBxoFHAY,Python OOP Tutorial 5: Special (Magic/Dunder) Methods,"['Python', 'Python Tutorial', 'Classes', 'Python Classes', 'Special Methods', 'Dunder Methods', 'Dunder', 'Python Dunder', 'Magic Methods', 'Python Magic Methods', 'Python Special Methods', 'Operator Overloading', 'Python Operator Overloading', 'Python built-in', 'built-ins', 'OOP', 'Python OOP', 'Object Oriented Programming', 'Standard Library', 'Python Standard Library', 'Python Double Underscores']",538960,16800,63,435,PT13M50S,UCCezIgC97PvUuR4_gbFUs5g,2016-08-08T16:30:01Z
