channelName,title,channelId,kind,url,gender,rank
Nick Chapsas,Nick Chapsas,UCrkPsvLGln62OMZRO6K-llg,youtube#channel,https://www.youtube.com/c/Elfocrash,Male,41
CodingEntrepreneurs,CodingEntrepreneurs,UCWEHue8kksIaktO8KTTN_zg,youtube#channel,https://www.youtube.com/user/CodingEntrepreneurs,Male,42
Programming With ERik,Program With Erik,UCshZ3rdoCLjDYuTR_RBubzw,youtube#channel,https://www.youtube.com/channel/UCshZ3rdoCLjDYuTR_RBubzw,Male,43
Forest Knight,ForrestKnight,UC2WHjPDvbE6O328n17ZGcfg,youtube#channel,https://www.youtube.com/channel/UC2WHjPDvbE6O328n17ZGcfg,Male,44
Keith Galli,Keith Galli,UCq6XkhO5SZ66N04IcPbqNcw,youtube#channel,https://www.youtube.com/c/KGMIT/featured,Male,45
Pretty Printed,Pretty Printed,UC-QDfvrRIDB6F0bIO4I4HkQ,youtube#channel,https://www.youtube.com/c/PrettyPrintedTutorials,Male,46
Derek Banas,Derek Banas,UCwRXb5dUK4cvsHbx-rGzSgw,youtube#channel,https://www.youtube.com/c/derekbanas,Male,47
The Cherno,The Cherno,UCQ-W1KE9EYfdxhL6S4twUNw,youtube#channel,https://www.youtube.com/c/TheChernoProject,Male,48
Angelsix,AngelSix,UCJ3AxeCHGPZkMi3kRfCuiHw,youtube#channel,https://www.youtube.com/c/AngelSix,Male,50
CodingWithMitch,CodingWithMitch,UCoNZZLhPuuRteu02rh7bzsw,youtube#channel,https://www.youtube.com/c/CodingWithMitch,Male,51
Chris Hawkes,Chris Hawkes,UCfV36TX5AejfAGIbtwTc7Zw,youtube#channel,https://www.youtube.com/user/noobtoprofessional,Male,52
Chris Coyier,Chris Coyier,UCADyUOnhyEoQqrw_RrsGleA,youtube#channel,https://www.youtube.com/user/realcsstricks,Male,53
Fazt,Fazt,UCX9NJ471o7Wie1DQe94RVIg,youtube#channel,https://www.youtube.com/channel/UCX9NJ471o7Wie1DQe94RVIg,Male,54
Prajwal NH,IIMB Inventors Inventing Machine Business,UCWym_j-OGCzIfz8K4vXtU6g,youtube#channel,https://www.youtube.com/channel/UCWym_j-OGCzIfz8K4vXtU6g,Male,55
Life of Luba,Life of Luba,UCgzKCeDYLRzPhQ64R6AKyBQ,youtube#channel,https://www.youtube.com/channel/UCgzKCeDYLRzPhQ64R6AKyBQ,Female,56
chuck severance,Chuck Severance,UChYfrRp_CWyqOt-ZYJGOgmA,youtube#channel,https://m.youtube.com/user/csev,Male,57
Will Kwan,Will Kwan,UCTjPBE9BNsmv44wgxWEy2zw,youtube#channel,https://www.youtube.com/channel/UCTjPBE9BNsmv44wgxWEy2zw,Male,58
codingphase,CodingPhase,UC46wWUso9H5KPQcoL9iE3Ug,youtube#channel,https://www.youtube.com/codingphase,Male,59
Pasja informatyki,Pasja informatyki,UCzn6vAfspIcagLax1fck_jw,youtube#channel,https://www.youtube.com/c/Pasjainformatykitutoriale,Male,60
Thomas Kim,Thomas Kim,UCpQ9kTWohSlFgXIKJmFc4kA,youtube#channel,https://www.youtube.com/channel/UCpQ9kTWohSlFgXIKJmFc4kA,Male,61
Life Of Boris,Life of Boris,UCS5tt2z_DFvG7-39J3aE-bQ,youtube#channel,https://www.youtube.com/c/LifeofBoris,Male,62
Data School,Data School,UCnVzApLJE2ljPZSeQylSEyg,youtube#channel,https://www.youtube.com/dataschool,Male,63
Abhishek Thakur,Abhishek Thakur,UCBPRJjIWfyNG4X-CRbnv78A,youtube#channel,https://www.youtube.com/c/AbhishekThakurAbhi,Male,64
gaurav sen,Gaurav Sen,UCRPMAqdtSgd0Ipeef7iFsKw,youtube#channel,https://www.youtube.com/c/GauravSensei/featured,Male,65
Ryan Dhungel,Ryan Dhungel,UCu47q4mYoq9t0bINCWaTsgA,youtube#channel,https://www.youtube.com/c/narayandhungel,Male,66
RealTough Candy,RealToughCandy,UC54NcJvLCvM2CNaBjd5j6HA,youtube#channel,https://www.youtube.com/channel/UC54NcJvLCvM2CNaBjd5j6HA,Female,67
Papaya Coders,Papaya Coders,UCm8jfNyHA7FIrFdYQTOpy0g,youtube#channel,https://youtube.com/papayacoders,Male,68
durga software solutions,Durga Software Solutions,UCbjozK_PYCTLEluFlrJ8UZg,youtube#channel,https://www.youtube.com/c/DurgaSoftwareSolutions,,70
perfect web solutions,Perfect Web Solutions,UCjM2CgqAXgXQuFjJa732IRw,youtube#channel,https://youtube.com/perfectwebsolutions,Male,71
