channelName,title,channelId,kind,url
Keith Galli,Keith Galli,UCq6XkhO5SZ66N04IcPbqNcw,youtube#channel,https://www.youtube.com/c/KGMIT/featured
Pretty Printed,Pretty Printed,UC-QDfvrRIDB6F0bIO4I4HkQ,youtube#channel,https://www.youtube.com/c/PrettyPrintedTutorials
Derek Banas,Derek Banas,UCwRXb5dUK4cvsHbx-rGzSgw,youtube#channel,https://www.youtube.com/c/derekbanas
The Cherno,The Cherno,UCQ-W1KE9EYfdxhL6S4twUNw,youtube#channel,https://www.youtube.com/c/TheChernoProject
Angelsix,AngelSix,UCJ3AxeCHGPZkMi3kRfCuiHw,youtube#channel,https://www.youtube.com/c/AngelSix
CodingWithMitch,CodingWithMitch,UCoNZZLhPuuRteu02rh7bzsw,youtube#channel,https://www.youtube.com/c/CodingWithMitch
Chris Hawkes,Chris Hawkes,UCfV36TX5AejfAGIbtwTc7Zw,youtube#channel,https://www.youtube.com/user/noobtoprofessional
Chris Coyier,Chris Coyier,UCADyUOnhyEoQqrw_RrsGleA,youtube#channel,https://www.youtube.com/user/realcsstricks
Fazt,Fazt,UCX9NJ471o7Wie1DQe94RVIg,youtube#channel,https://www.youtube.com/channel/UCX9NJ471o7Wie1DQe94RVIg
Prajwal NH ,IIMB Inventors Inventing Machine Business,UCWym_j-OGCzIfz8K4vXtU6g,youtube#channel,https://www.youtube.com/channel/UCWym_j-OGCzIfz8K4vXtU6g
Life of Luba,Life of Luba,UCgzKCeDYLRzPhQ64R6AKyBQ,youtube#channel,https://www.youtube.com/channel/UCgzKCeDYLRzPhQ64R6AKyBQ
chuck severance,Chuck Severance,UChYfrRp_CWyqOt-ZYJGOgmA,youtube#channel,https://m.youtube.com/user/csev
Will Kwan,Will Kwan,UCTjPBE9BNsmv44wgxWEy2zw,youtube#channel,https://www.youtube.com/channel/UCTjPBE9BNsmv44wgxWEy2zw
codingphase,CodingPhase,UC46wWUso9H5KPQcoL9iE3Ug,youtube#channel,https://www.youtube.com/codingphase
Pasja informatyki,Pasja informatyki,UCzn6vAfspIcagLax1fck_jw,youtube#channel,https://www.youtube.com/c/Pasjainformatykitutoriale
Thomas Kim,Thomas Kim,UCpQ9kTWohSlFgXIKJmFc4kA,youtube#channel,https://www.youtube.com/channel/UCpQ9kTWohSlFgXIKJmFc4kA
Life Of Boris,Life of Boris,UCS5tt2z_DFvG7-39J3aE-bQ,youtube#channel,https://www.youtube.com/c/LifeofBoris
Data School,Data School,UCnVzApLJE2ljPZSeQylSEyg,youtube#channel,https://www.youtube.com/dataschool
Abhishek Thakur ,Abhishek Thakur,UCBPRJjIWfyNG4X-CRbnv78A,youtube#channel,https://www.youtube.com/c/AbhishekThakurAbhi
gaurav sen,Gaurav Sen,UCRPMAqdtSgd0Ipeef7iFsKw,youtube#channel,https://www.youtube.com/results?search_query=gaurav+sen
Ryan Dhungel,Ryan Dhungel,UCu47q4mYoq9t0bINCWaTsgA,youtube#channel,https://www.youtube.com/c/narayandhungel
RealTough Candy,RealToughCandy,UC54NcJvLCvM2CNaBjd5j6HA,youtube#channel,https://www.youtube.com/channel/UC54NcJvLCvM2CNaBjd5j6HA
Papaya Coders,Papaya Coders,UCm8jfNyHA7FIrFdYQTOpy0g,youtube#channel,https://youtube.com/papayacoders
durga software solutions,Durga Software Solutions,UCbjozK_PYCTLEluFlrJ8UZg,youtube#channel,https://www.youtube.com/c/DurgaSoftwareSolutions
perfect web solutions,Perfect Web Solutions,UCjM2CgqAXgXQuFjJa732IRw,youtube#channel,https://youtube.com/perfectwebsolutions
